,country,date,Population,GDP,Population_Growth,Physicians_per1000,HIV_Incidence,Land_area,Literacy_rate,Hospital_beds_per1000,Government_health_expenditure,Prevalence_underweight_under5,Infant_mortality_per1000,Maternal_mortality_per100000,Life_expectancy,Adult_obesity,HIV_Prevalence,Fertility_rate,Female_Population,Male_Population,Population_65+,Population_age_0to14,Population_15to64,Death_per1000,Income_level,Region,Codes
300,Mali,2016,17965429.0,780.718598502648,2.97529528280165,0.1395,,1220190.0,,,3.7753799,20.2,65.2,590.0,57.987,28.1,1.3,6.057,49.9799114388909,50.0200885611091,453071.0,8597269.0,8915089.0,10.307,LIC,Sub-saharan Africa,MLI
302,Malta,2016,455356.0,25617.8269140977,2.28861544064371,,,320.0,,4.67,9.11781311,,6.1,6.0,82.4536585365854,66.4,,1.37,49.9106854177606,50.0893145822394,88244.0,64696.0,302415.0,7.3,HIC,Middle East and North Africa,MLT
304,Marshall Islands,2016,57735.0,3473.77500649519,0.514006028614916,,,180.0,,,17.64945793,,28.6,,,83.5,,,,,,,,,LMY,East Asia and Pacific,MHL
306,Mauritania,2016,4163534.0,1536.85414964338,2.85611024246197,,,1030700.0,,,4.21777868,,53.8,777.0,64.208,34.4,0.2,4.679,49.8682849081021,50.1317150918979,130032.0,1682461.0,2351041.0,7.468,LMC,Sub-saharan Africa,MRT
308,Mauritius,2016,1263473.0,9681.61856689674,0.0687231379365168,2.1943,0.86,2030.0,93.1578369140625,,5.70678568,,12.8,67.0,74.3948780487805,32.3,1.3,1.4,50.4998137684548,49.5001862315453,131945.0,238818.0,892710.0,8.1,HIC,Sub-saharan Africa,MUS
310,Mexico,2016,123333376.0,8744.51577183222,1.20325132906034,2.3244,,1943950.0,94.859619140625,1.0,5.61569786,4.2,13.5,34.0,74.917,64.9,,2.186,51.0956729726833,48.9043270273168,8477098.0,33676043.0,81180235.0,5.851,LMY,Latin America and Caribbean,MEX
312,"Micronesia, Fed. Sts.",2016,110215.0,3014.70035839042,1.20488884057292,,,700.0,,,13.17891884,,26.9,90.0,67.471,75.9,,3.145,49.1666288617702,50.8333711382298,3991.0,35633.0,70591.0,6.526,LMC,"Micronesia, Fed. Sts.",FSM
314,Middle East & North Africa,2016,433597628.0,7277.53208743827,1.82608277636909,,0.0680037205916989,11223348.0,80.455192565918,1.58579084273255,5.76382679544064,5.3245325088501,19.4,58.0,73.7108202619547,62.8978141712374,0.104828386162638,2.86693254292582,48.2467334614428,51.7532665385572,21503594.0,129691467.0,282402566.0,4.9450757736433,INX,Middle East & North Africa,Middle East & North Africa
316,Middle East & North Africa (IDA & IBRD countries),2016,365909373.0,3947.21870411868,1.72472084090533,,0.0679680091374367,8635069.0,77.6045684814453,1.48445984013995,6.53113374436177,,20.9692971784055,63.0,73.1935470729551,61.8026602392929,0.10491475697628,2.93126518162217,49.5855179647762,50.4144820352239,18946628.0,113411486.0,233551258.0,5.27298338005405,INX,Middle East & North Africa (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries)
318,Middle East & North Africa (excluding high income),2016,370276461.0,3942.96184419826,1.73113578645598,,0.0679680091374367,8641089.0,77.8165588378906,1.48445984013995,6.53113374436177,,20.9213284547854,63.0,73.1982110954199,61.8026602392929,0.10491475697628,2.94138968212105,49.5817077087574,50.4182922912426,19080058.0,115140285.0,236056117.0,5.25181311619752,INX,Middle East & North Africa (excluding high income),Middle East & North Africa (excluding high income)
320,Middle income,2016,5586457054.0,4780.82587773889,1.14020565460579,,,79588124.9,85.7772903442383,2.1722241301713,5.27951562500454,14.0672016143799,29.3968993441478,186.0,71.4012397079535,34.874219474374,,2.36096081045658,49.366782876551,50.633217123449,394712806.0,1468717964.0,3721052713.0,7.25840620259387,INX,Middle income,Middle income
322,Moldova,2016,2802170.0,2880.43928129296,-1.148202157971,,0.48,32880.0,,,7.53552246,,13.1,20.0,71.617,51.8,0.7,1.259,51.968427056185,48.031572943815,291874.0,442335.0,2067961.0,11.452,LMC,Europe and Central Asia,MDA
324,Monaco,2016,38070.0,170028.655717864,0.928913630423242,,,2.027,,,1.62751341,,2.8,,,,,,,,,,,7.9,HIC,Europe and Central Asia,MCO
326,Mongolia,2016,3056359.0,3660.15074616061,1.91325183123449,2.8592,0.02,1557255.4,,7.0,4.42355728,0.8,16.1,46.0,69.321,55.6,0.1,2.923,50.6046084915445,49.3953915084555,119835.0,899590.0,2036935.0,6.286,LMC,East Asia and Pacific,MNG
328,Montenegro,2016,622303.0,7028.66345418521,0.0231425307711559,,0.09,13450.0,,3.93,,,2.8,6.0,76.568,59.4,0.1,1.73,50.5647479319146,49.4352520680854,88005.0,114088.0,420209.0,10.484,LMY,Europe and Central Asia,MNE
330,Morocco,2016,35126296.0,2896.72000268117,1.32597922024303,,0.05,446300.0,,1.1,5.23815107,,20.7,72.0,75.974,60.4,0.1,2.489,50.4345863725825,49.5654136274175,2296576.0,9709997.0,23119724.0,5.093,LMC,Middle East and North Africa,MAR
332,Mozambique,2016,27829942.0,428.926487995524,2.87212045581116,0.0497,10.63,786380.0,,,7.84588909,,59.8,301.0,58.309,26.4,12.5,4.992,51.5494253848285,48.4505746151715,807477.0,12582990.0,14439475.0,9.463,LIC,Sub-saharan Africa,MOZ
334,Myanmar,2016,53045226.0,1266.54633814868,0.689521233436478,0.6195,0.4,653080.0,75.5512008666992,1.04,5.11008072,18.5,39.4,245.0,66.205,24.8,0.8,2.182,51.8026673818304,48.1973326181696,2839502.0,14497171.0,35708553.0,8.238,LMC,East Asia and Pacific,MMR
336,Namibia,2016,2358041.0,4523.0912813127,1.84629715847982,,6.37,823290.0,,,8.85608196,,32.6,207.0,62.625,40.6,12.1,3.496,51.5835582372509,48.4164417627491,87353.0,869455.0,1401233.0,8.423,LMY,Sub-saharan Africa,NAM
